number,time,thscode,ths_future_code_future,ths_mini_chg_price_future,ths_contract_multiplier,ths_trade_deposit_future,ths_transaction_procedure_rate_future,ths_transaction_procedure_fee_future,ths_open_time_day_future,ths_close_time_day_future,ths_open_time_night_future,ths_close_time_night_future,ths_exchange_name_eng_future,
1,2024-04-01,ZNZL.SHF,ZNZL2,5.0000,5.0000,"10,457.5000",0.0000,3.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
2,2024-03-29,ZNZL.SHF,ZNZL2,5.0000,5.0000,"10,442.5000",0.0000,3.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
3,2024-03-28,ZNZL.SHF,ZNZL2,5.0000,5.0000,"8,326.0000",0.0000,3.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
4,2024-03-27,ZNZL.SHF,ZNZL2,5.0000,5.0000,"8,340.0000",0.0000,3.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
5,2024-03-26,ZNZL.SHF,ZNZL2,5.0000,5.0000,"8,462.0000",0.0000,3.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
6,2024-03-25,ZNZL.SHF,ZNZL2,5.0000,5.0000,"8,484.0000",0.0000,3.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
7,2024-03-22,ZNZL.SHF,ZNZL2,5.0000,5.0000,"8,524.0000",0.0000,3.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
8,2024-03-21,ZNZL.SHF,ZNZL2,5.0000,5.0000,"8,530.0000",0.0000,3.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
9,2024-03-20,ZNZL.SHF,ZNZL2,5.0000,5.0000,"8,474.0000",0.0000,3.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
10,2024-03-19,ZNZL.SHF,ZNZL2,5.0000,5.0000,"8,512.0000",0.0000,3.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
11,2024-03-18,ZNZL.SHF,ZNZL2,5.0000,5.0000,"8,550.0000",0.0000,3.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
12,2024-03-15,ZNZL.SHF,ZNZL2,5.0000,5.0000,"10,700.0000",0.0000,3.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
13,2024-03-14,ZNZL.SHF,ZNZL2,5.0000,5.0000,"10,740.0000",0.0000,3.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
