number,time,thscode,ths_future_code_future,ths_mini_chg_price_future,ths_contract_multiplier,ths_trade_deposit_future,ths_transaction_procedure_rate_future,ths_transaction_procedure_fee_future,ths_open_time_day_future,ths_close_time_day_future,ths_open_time_night_future,ths_close_time_night_future,ths_exchange_name_eng_future,
1,2024-04-01,SPZL.SHF,SPZL2,2.0000,10.0000,"6,120.0000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
2,2024-03-29,SPZL.SHF,SPZL2,2.0000,10.0000,"6,090.0000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
3,2024-03-28,SPZL.SHF,SPZL2,2.0000,10.0000,"4,860.8000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
4,2024-03-27,SPZL.SHF,SPZL2,2.0000,10.0000,"4,916.8000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
5,2024-03-26,SPZL.SHF,SPZL2,2.0000,10.0000,"4,862.4000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
6,2024-03-25,SPZL.SHF,SPZL2,2.0000,10.0000,"4,916.8000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
7,2024-03-22,SPZL.SHF,SPZL2,2.0000,10.0000,"4,947.2000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
8,2024-03-21,SPZL.SHF,SPZL2,2.0000,10.0000,"4,948.8000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
9,2024-03-20,SPZL.SHF,SPZL2,2.0000,10.0000,"4,929.6000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
10,2024-03-19,SPZL.SHF,SPZL2,2.0000,10.0000,"4,883.2000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
11,2024-03-18,SPZL.SHF,SPZL2,2.0000,10.0000,"4,822.4000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
12,2024-03-15,SPZL.SHF,SPZL2,2.0000,10.0000,"4,835.2000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
13,2024-03-14,SPZL.SHF,SPZL2,2.0000,10.0000,"4,840.0000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
14,2024-03-13,SPZL.SHF,SPZL2,2.0000,10.0000,"4,836.8000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
15,2024-03-12,SPZL.SHF,SPZL2,2.0000,10.0000,"4,812.8000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
16,2024-03-11,SPZL.SHF,SPZL2,2.0000,10.0000,"4,801.6000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
17,2024-03-08,SPZL.SHF,SPZL2,2.0000,10.0000,"4,756.8000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
18,2024-03-07,SPZL.SHF,SPZL2,2.0000,10.0000,"4,715.2000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
19,2024-03-06,SPZL.SHF,SPZL2,2.0000,10.0000,"4,652.8000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
20,2024-03-05,SPZL.SHF,SPZL2,2.0000,10.0000,"4,662.4000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
21,2024-03-04,SPZL.SHF,SPZL2,2.0000,10.0000,"4,667.2000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
22,2024-03-01,SPZL.SHF,SPZL2,2.0000,10.0000,"4,699.2000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
23,2024-02-29,SPZL.SHF,SPZL2,2.0000,10.0000,"4,688.0000",0.0500,0.0000,9:00:00,15:00:00,21:00:00,23:00:00,SHFE,
