number,time,thscode,ths_future_code_future,ths_mini_chg_price_future,ths_contract_multiplier,ths_trade_deposit_future,ths_transaction_procedure_rate_future,ths_transaction_procedure_fee_future,ths_open_time_day_future,ths_close_time_day_future,ths_open_time_night_future,ths_close_time_night_future,ths_exchange_name_eng_future,
1,2024-04-01,SSZL.SHF,SSZL2,5.0000,5.0000,"6,642.5000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
2,2024-03-29,SSZL.SHF,SSZL2,5.0000,5.0000,"6,732.5000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
3,2024-03-28,SSZL.SHF,SSZL2,5.0000,5.0000,"4,714.5000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
4,2024-03-27,SSZL.SHF,SSZL2,5.0000,5.0000,"4,679.5000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
5,2024-03-26,SSZL.SHF,SSZL2,5.0000,5.0000,"4,686.5000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
6,2024-03-25,SSZL.SHF,SSZL2,5.0000,5.0000,"4,732.0000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
7,2024-03-22,SSZL.SHF,SSZL2,5.0000,5.0000,"4,768.7500",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
8,2024-03-21,SSZL.SHF,SSZL2,5.0000,5.0000,"4,767.0000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
9,2024-03-20,SSZL.SHF,SSZL2,5.0000,5.0000,"4,789.7500",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
10,2024-03-19,SSZL.SHF,SSZL2,5.0000,5.0000,"4,831.7500",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
11,2024-03-18,SSZL.SHF,SSZL2,5.0000,5.0000,"4,812.5000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
12,2024-03-15,SSZL.SHF,SSZL2,5.0000,5.0000,"4,760.0000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
13,2024-03-14,SSZL.SHF,SSZL2,5.0000,5.0000,"4,761.7500",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
14,2024-03-13,SSZL.SHF,SSZL2,5.0000,5.0000,"4,802.0000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
15,2024-03-12,SSZL.SHF,SSZL2,5.0000,5.0000,"4,802.0000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
16,2024-03-11,SSZL.SHF,SSZL2,5.0000,5.0000,"4,819.5000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
17,2024-03-08,SSZL.SHF,SSZL2,5.0000,5.0000,"4,838.7500",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
18,2024-03-07,SSZL.SHF,SSZL2,5.0000,5.0000,"4,810.7500",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
19,2024-03-06,SSZL.SHF,SSZL2,5.0000,5.0000,"4,807.2500",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
20,2024-03-05,SSZL.SHF,SSZL2,5.0000,5.0000,"4,837.0000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
21,2024-03-04,SSZL.SHF,SSZL2,5.0000,5.0000,"4,865.0000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
22,2024-03-01,SSZL.SHF,SSZL2,5.0000,5.0000,"4,922.7500",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
23,2024-02-29,SSZL.SHF,SSZL2,5.0000,5.0000,"4,938.5000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
24,2024-02-28,SSZL.SHF,SSZL2,5.0000,5.0000,"4,950.7500",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
25,2024-02-27,SSZL.SHF,SSZL2,5.0000,5.0000,"4,915.7500",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
26,2024-02-26,SSZL.SHF,SSZL2,5.0000,5.0000,"4,891.2500",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
27,2024-02-23,SSZL.SHF,SSZL2,5.0000,5.0000,"4,891.2500",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
28,2024-02-22,SSZL.SHF,SSZL2,5.0000,5.0000,"4,838.7500",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
29,2024-02-21,SSZL.SHF,SSZL2,5.0000,5.0000,"4,800.2500",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
30,2024-02-20,SSZL.SHF,SSZL2,5.0000,5.0000,"4,805.5000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
31,2024-02-19,SSZL.SHF,SSZL2,5.0000,5.0000,"4,798.5000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
32,2024-02-08,SSZL.SHF,SSZL2,5.0000,5.0000,"6,775.0000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
33,2024-02-07,SSZL.SHF,SSZL2,5.0000,5.0000,"6,790.0000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
34,2024-02-06,SSZL.SHF,SSZL2,5.0000,5.0000,"6,797.5000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
35,2024-02-05,SSZL.SHF,SSZL2,5.0000,5.0000,"6,827.5000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
36,2024-02-02,SSZL.SHF,SSZL2,5.0000,5.0000,"6,840.0000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
37,2024-02-01,SSZL.SHF,SSZL2,5.0000,5.0000,"6,890.0000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
38,2024-01-31,SSZL.SHF,SSZL2,5.0000,5.0000,"6,972.5000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
39,2024-01-30,SSZL.SHF,SSZL2,5.0000,5.0000,"4,942.0000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
40,2024-01-29,SSZL.SHF,SSZL2,5.0000,5.0000,"4,963.0000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
41,2024-01-26,SSZL.SHF,SSZL2,5.0000,5.0000,"4,996.2500",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
42,2024-01-25,SSZL.SHF,SSZL2,5.0000,5.0000,"5,013.7500",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
43,2024-01-24,SSZL.SHF,SSZL2,5.0000,5.0000,"5,019.0000",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
44,2024-01-23,SSZL.SHF,SSZL2,5.0000,5.0000,"4,978.7500",0.0000,2.0000,9:00:00,15:00:00,21:00:00,1:00:00,SHFE,
