number,time,thscode,ths_future_code_future,ths_mini_chg_price_future,ths_contract_multiplier,ths_trade_deposit_future,ths_transaction_procedure_rate_future,ths_transaction_procedure_fee_future,ths_open_time_day_future,ths_close_time_day_future,ths_open_time_night_future,ths_close_time_night_future,ths_exchange_name_eng_future,
1,2024-04-01,RRZL.DCE,RRZL2,1.0000,10.0000,"2,159.4000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
2,2024-03-29,RRZL.DCE,RRZL2,1.0000,10.0000,"2,160.6000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
3,2024-03-28,RRZL.DCE,RRZL2,1.0000,10.0000,"2,157.6000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
4,2024-03-27,RRZL.DCE,RRZL2,1.0000,10.0000,"2,155.2000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
5,2024-03-26,RRZL.DCE,RRZL2,1.0000,10.0000,"2,157.6000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
6,2024-03-25,RRZL.DCE,RRZL2,1.0000,10.0000,"2,157.6000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
7,2024-03-22,RRZL.DCE,RRZL2,1.0000,10.0000,"2,155.2000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
8,2024-03-21,RRZL.DCE,RRZL2,1.0000,10.0000,"2,157.0000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
9,2024-03-20,RRZL.DCE,RRZL2,1.0000,10.0000,"2,154.6000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
10,2024-03-19,RRZL.DCE,RRZL2,1.0000,10.0000,"2,152.2000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
11,2024-03-18,RRZL.DCE,RRZL2,1.0000,10.0000,"2,151.0000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
12,2024-03-15,RRZL.DCE,RRZL2,1.0000,10.0000,"2,149.2000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
13,2024-03-14,RRZL.DCE,RRZL2,1.0000,10.0000,"2,065.8000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
14,2024-03-13,RRZL.DCE,RRZL2,1.0000,10.0000,"2,065.8000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
15,2024-03-12,RRZL.DCE,RRZL2,1.0000,10.0000,"2,067.0000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
16,2024-03-11,RRZL.DCE,RRZL2,1.0000,10.0000,"2,070.0000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
17,2024-03-08,RRZL.DCE,RRZL2,1.0000,10.0000,"2,071.2000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
18,2024-03-07,RRZL.DCE,RRZL2,1.0000,10.0000,"2,069.4000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
19,2024-03-06,RRZL.DCE,RRZL2,1.0000,10.0000,"2,065.8000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
20,2024-03-05,RRZL.DCE,RRZL2,1.0000,10.0000,"2,066.4000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
21,2024-03-04,RRZL.DCE,RRZL2,1.0000,10.0000,"2,065.2000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
22,2024-03-01,RRZL.DCE,RRZL2,1.0000,10.0000,"2,067.0000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
23,2024-02-29,RRZL.DCE,RRZL2,1.0000,10.0000,"2,069.4000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
24,2024-02-28,RRZL.DCE,RRZL2,1.0000,10.0000,"2,071.8000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
25,2024-02-27,RRZL.DCE,RRZL2,1.0000,10.0000,"2,067.0000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
26,2024-02-26,RRZL.DCE,RRZL2,1.0000,10.0000,"2,069.4000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
27,2024-02-23,RRZL.DCE,RRZL2,1.0000,10.0000,"2,074.2000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
28,2024-02-22,RRZL.DCE,RRZL2,1.0000,10.0000,"2,083.8000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
29,2024-02-21,RRZL.DCE,RRZL2,1.0000,10.0000,"2,089.2000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
30,2024-02-20,RRZL.DCE,RRZL2,1.0000,10.0000,"2,071.2000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
31,2024-02-19,RRZL.DCE,RRZL2,1.0000,10.0000,"2,086.8000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
32,2024-02-08,RRZL.DCE,RRZL2,1.0000,10.0000,"2,800.0000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
33,2024-02-07,RRZL.DCE,RRZL2,1.0000,10.0000,"2,772.0000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
34,2024-02-06,RRZL.DCE,RRZL2,1.0000,10.0000,"2,081.4000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
35,2024-02-05,RRZL.DCE,RRZL2,1.0000,10.0000,"2,074.8000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
36,2024-02-02,RRZL.DCE,RRZL2,1.0000,10.0000,"2,073.0000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
37,2024-02-01,RRZL.DCE,RRZL2,1.0000,10.0000,"2,085.6000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
38,2024-01-31,RRZL.DCE,RRZL2,1.0000,10.0000,"2,101.2000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
39,2024-01-30,RRZL.DCE,RRZL2,1.0000,10.0000,"2,106.0000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
40,2024-01-29,RRZL.DCE,RRZL2,1.0000,10.0000,"2,112.6000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
41,2024-01-26,RRZL.DCE,RRZL2,1.0000,10.0000,"2,112.0000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
42,2024-01-25,RRZL.DCE,RRZL2,1.0000,10.0000,"2,111.4000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
43,2024-01-24,RRZL.DCE,RRZL2,1.0000,10.0000,"2,112.0000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
44,2024-01-23,RRZL.DCE,RRZL2,1.0000,10.0000,"2,109.0000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
45,2024-01-22,RRZL.DCE,RRZL2,1.0000,10.0000,"2,106.0000",--,1.0000,9:00:00,15:00:00,21:00:00,23:00:00,DCE,
