number,time,thscode,ths_future_code_future,ths_mini_chg_price_future,ths_contract_multiplier,ths_trade_deposit_future,ths_transaction_procedure_rate_future,ths_transaction_procedure_fee_future,ths_open_time_day_future,ths_close_time_day_future,ths_open_time_night_future,ths_close_time_night_future,ths_exchange_name_eng_future,
1,2024-04-01,SIZL.GFE,SIZL2,5.0000,5.0000,"4,740.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
2,2024-03-29,SIZL.GFE,SIZL2,5.0000,5.0000,"4,818.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
3,2024-03-28,SIZL.GFE,SIZL2,5.0000,5.0000,"4,848.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
4,2024-03-27,SIZL.GFE,SIZL2,5.0000,5.0000,"4,880.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
5,2024-03-26,SIZL.GFE,SIZL2,5.0000,5.0000,"4,942.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
6,2024-03-25,SIZL.GFE,SIZL2,5.0000,5.0000,"4,990.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
7,2024-03-22,SIZL.GFE,SIZL2,5.0000,5.0000,"5,042.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
8,2024-03-21,SIZL.GFE,SIZL2,5.0000,5.0000,"5,078.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
9,2024-03-20,SIZL.GFE,SIZL2,5.0000,5.0000,"5,080.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
10,2024-03-19,SIZL.GFE,SIZL2,5.0000,5.0000,"5,078.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
11,2024-03-18,SIZL.GFE,SIZL2,5.0000,5.0000,"5,096.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
12,2024-03-15,SIZL.GFE,SIZL2,5.0000,5.0000,"5,124.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
13,2024-03-14,SIZL.GFE,SIZL2,5.0000,5.0000,"5,302.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
14,2024-03-13,SIZL.GFE,SIZL2,5.0000,5.0000,"5,314.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
15,2024-03-12,SIZL.GFE,SIZL2,5.0000,5.0000,"5,316.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
16,2024-03-11,SIZL.GFE,SIZL2,5.0000,5.0000,"5,308.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
17,2024-03-08,SIZL.GFE,SIZL2,5.0000,5.0000,"5,308.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
18,2024-03-07,SIZL.GFE,SIZL2,5.0000,5.0000,"5,330.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
19,2024-03-06,SIZL.GFE,SIZL2,5.0000,5.0000,"5,316.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
20,2024-03-05,SIZL.GFE,SIZL2,5.0000,5.0000,"5,356.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
21,2024-03-04,SIZL.GFE,SIZL2,5.0000,5.0000,"5,356.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
22,2024-03-01,SIZL.GFE,SIZL2,5.0000,5.0000,"5,338.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
23,2024-02-29,SIZL.GFE,SIZL2,5.0000,5.0000,"5,266.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
24,2024-02-28,SIZL.GFE,SIZL2,5.0000,5.0000,"5,328.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
25,2024-02-27,SIZL.GFE,SIZL2,5.0000,5.0000,"5,324.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
26,2024-02-26,SIZL.GFE,SIZL2,5.0000,5.0000,"5,328.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
27,2024-02-23,SIZL.GFE,SIZL2,5.0000,5.0000,"5,362.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
28,2024-02-22,SIZL.GFE,SIZL2,5.0000,5.0000,"5,338.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
29,2024-02-21,SIZL.GFE,SIZL2,5.0000,5.0000,"5,348.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
30,2024-02-20,SIZL.GFE,SIZL2,5.0000,5.0000,"5,354.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
31,2024-02-19,SIZL.GFE,SIZL2,5.0000,5.0000,"5,342.0000",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
32,2024-02-08,SIZL.GFE,SIZL2,5.0000,5.0000,"7,411.2500",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
33,2024-02-07,SIZL.GFE,SIZL2,5.0000,5.0000,"7,389.2500",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
34,2024-02-06,SIZL.GFE,SIZL2,5.0000,5.0000,"5,919.7500",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
35,2024-02-05,SIZL.GFE,SIZL2,5.0000,5.0000,"5,964.7500",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
36,2024-02-02,SIZL.GFE,SIZL2,5.0000,5.0000,"5,964.7500",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
37,2024-02-01,SIZL.GFE,SIZL2,5.0000,5.0000,"5,924.2500",0.1000,--,9:00:00,15:00:00,--,--,GFEX,
