number,time,thscode,ths_future_code_future,ths_mini_chg_price_future,ths_contract_multiplier,ths_trade_deposit_future,ths_transaction_procedure_rate_future,ths_transaction_procedure_fee_future,ths_open_time_day_future,ths_close_time_day_future,ths_open_time_night_future,ths_close_time_night_future,ths_exchange_name_eng_future,
1,2024-04-01,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
2,2024-03-29,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
3,2024-03-28,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
4,2024-03-27,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
5,2024-03-26,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
6,2024-03-25,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
7,2024-03-22,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
8,2024-03-21,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
9,2024-03-20,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
10,2024-03-19,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
11,2024-03-18,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
12,2024-03-15,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
13,2024-03-14,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
14,2024-03-13,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
15,2024-03-12,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
16,2024-03-11,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
17,2024-03-08,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
18,2024-03-07,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
19,2024-03-06,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
20,2024-03-05,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
21,2024-03-04,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
22,2024-03-01,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
23,2024-02-29,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
24,2024-02-28,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
25,2024-02-27,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
26,2024-02-26,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
27,2024-02-23,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
28,2024-02-22,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
29,2024-02-21,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
30,2024-02-20,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
31,2024-02-19,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
32,2024-02-08,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
33,2024-02-07,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
34,2024-02-06,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
35,2024-02-05,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
36,2024-02-02,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
37,2024-02-01,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
38,2024-01-31,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
39,2024-01-30,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
40,2024-01-29,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
41,2024-01-26,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
42,2024-01-25,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
43,2024-01-24,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
44,2024-01-23,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
45,2024-01-22,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
46,2024-01-19,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
47,2024-01-18,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
48,2024-01-17,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
49,2024-01-16,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
50,2024-01-15,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
51,2024-01-12,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
52,2024-01-11,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
53,2024-01-10,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
54,2024-01-09,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
55,2024-01-08,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
56,2024-01-05,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
57,2024-01-04,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
58,2024-01-03,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
59,2024-01-02,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
60,2023-12-29,WHZL.CZC,WHZL2,1.0000,20.0000,"12,792.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
61,2023-12-28,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
62,2023-12-27,WHZL.CZC,WHZL2,1.0000,20.0000,"9,594.0000",--,30.0000,9:00:00,15:00:00,--,--,CZCE,
