number,time,thscode,ths_future_code_future,ths_mini_chg_price_future,ths_contract_multiplier,ths_trade_deposit_future,ths_transaction_procedure_rate_future,ths_transaction_procedure_fee_future,ths_open_time_day_future,ths_close_time_day_future,ths_open_time_night_future,ths_close_time_night_future,ths_exchange_name_eng_future,
1,2024-04-01,SRZL.CZC,SRZL2,1.0000,10.0000,"4,638.9000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
2,2024-03-29,SRZL.CZC,SRZL2,1.0000,10.0000,"4,552.8000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
3,2024-03-28,SRZL.CZC,SRZL2,1.0000,10.0000,"4,522.0000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4,2024-03-27,SRZL.CZC,SRZL2,1.0000,10.0000,"4,541.6000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
5,2024-03-26,SRZL.CZC,SRZL2,1.0000,10.0000,"4,529.7000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
6,2024-03-25,SRZL.CZC,SRZL2,1.0000,10.0000,"4,542.3000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
7,2024-03-22,SRZL.CZC,SRZL2,1.0000,10.0000,"4,571.7000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
8,2024-03-21,SRZL.CZC,SRZL2,1.0000,10.0000,"4,553.5000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
9,2024-03-20,SRZL.CZC,SRZL2,1.0000,10.0000,"4,557.0000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10,2024-03-19,SRZL.CZC,SRZL2,1.0000,10.0000,"4,590.6000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
11,2024-03-18,SRZL.CZC,SRZL2,1.0000,10.0000,"4,582.2000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
12,2024-03-15,SRZL.CZC,SRZL2,1.0000,10.0000,"4,557.7000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
13,2024-03-14,SRZL.CZC,SRZL2,1.0000,10.0000,"4,526.9000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
14,2024-03-13,SRZL.CZC,SRZL2,1.0000,10.0000,"4,517.8000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
15,2024-03-12,SRZL.CZC,SRZL2,1.0000,10.0000,"4,473.7000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
16,2024-03-11,SRZL.CZC,SRZL2,1.0000,10.0000,"4,405.8000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
17,2024-03-08,SRZL.CZC,SRZL2,1.0000,10.0000,"4,398.8000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
18,2024-03-07,SRZL.CZC,SRZL2,1.0000,10.0000,"4,405.8000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
19,2024-03-06,SRZL.CZC,SRZL2,1.0000,10.0000,"4,407.9000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
20,2024-03-05,SRZL.CZC,SRZL2,1.0000,10.0000,"4,396.0000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
21,2024-03-04,SRZL.CZC,SRZL2,1.0000,10.0000,"4,377.8000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
22,2024-03-01,SRZL.CZC,SRZL2,1.0000,10.0000,"4,361.0000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
23,2024-02-29,SRZL.CZC,SRZL2,1.0000,10.0000,"4,391.1000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
24,2024-02-28,SRZL.CZC,SRZL2,1.0000,10.0000,"4,396.0000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
25,2024-02-27,SRZL.CZC,SRZL2,1.0000,10.0000,"4,382.0000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
26,2024-02-26,SRZL.CZC,SRZL2,1.0000,10.0000,"4,378.5000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
27,2024-02-23,SRZL.CZC,SRZL2,1.0000,10.0000,"4,414.2000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
28,2024-02-22,SRZL.CZC,SRZL2,1.0000,10.0000,"4,452.0000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
29,2024-02-21,SRZL.CZC,SRZL2,1.0000,10.0000,"4,453.4000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
30,2024-02-20,SRZL.CZC,SRZL2,1.0000,10.0000,"4,490.5000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
31,2024-02-19,SRZL.CZC,SRZL2,1.0000,10.0000,"4,550.0000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
32,2024-02-08,SRZL.CZC,SRZL2,1.0000,10.0000,"6,570.0000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
33,2024-02-07,SRZL.CZC,SRZL2,1.0000,10.0000,"6,515.0000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
34,2024-02-06,SRZL.CZC,SRZL2,1.0000,10.0000,"4,558.4000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
35,2024-02-05,SRZL.CZC,SRZL2,1.0000,10.0000,"4,577.3000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
36,2024-02-02,SRZL.CZC,SRZL2,1.0000,10.0000,"4,539.5000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
37,2024-02-01,SRZL.CZC,SRZL2,1.0000,10.0000,"4,530.4000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
38,2024-01-31,SRZL.CZC,SRZL2,1.0000,10.0000,"4,517.8000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
39,2024-01-30,SRZL.CZC,SRZL2,1.0000,10.0000,"4,524.1000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
40,2024-01-29,SRZL.CZC,SRZL2,1.0000,10.0000,"4,519.9000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
41,2024-01-26,SRZL.CZC,SRZL2,1.0000,10.0000,"4,540.9000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
42,2024-01-25,SRZL.CZC,SRZL2,1.0000,10.0000,"4,543.7000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
43,2024-01-24,SRZL.CZC,SRZL2,1.0000,10.0000,"4,523.4000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
44,2024-01-23,SRZL.CZC,SRZL2,1.0000,10.0000,"4,506.6000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
45,2024-01-22,SRZL.CZC,SRZL2,1.0000,10.0000,"4,491.9000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
46,2024-01-19,SRZL.CZC,SRZL2,1.0000,10.0000,"4,462.5000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
47,2024-01-18,SRZL.CZC,SRZL2,1.0000,10.0000,"4,438.7000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
48,2024-01-17,SRZL.CZC,SRZL2,1.0000,10.0000,"4,435.2000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
49,2024-01-16,SRZL.CZC,SRZL2,1.0000,10.0000,"4,391.1000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
50,2024-01-15,SRZL.CZC,SRZL2,1.0000,10.0000,"4,399.5000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
51,2024-01-12,SRZL.CZC,SRZL2,1.0000,10.0000,"4,395.3000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
52,2024-01-11,SRZL.CZC,SRZL2,1.0000,10.0000,"4,375.0000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
53,2024-01-10,SRZL.CZC,SRZL2,1.0000,10.0000,"4,390.4000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
54,2024-01-09,SRZL.CZC,SRZL2,1.0000,10.0000,"4,425.4000",--,3.0000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
