number,time,thscode,ths_future_code_future,ths_mini_chg_price_future,ths_contract_multiplier,ths_trade_deposit_future,ths_transaction_procedure_rate_future,ths_transaction_procedure_fee_future,ths_open_time_day_future,ths_close_time_day_future,ths_open_time_night_future,ths_close_time_night_future,ths_exchange_name_eng_future,
1,2024-04-01,URZL.CZC,URZL2,1.0000,20.0000,"2,950.4000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
2,2024-03-29,URZL.CZC,URZL2,1.0000,20.0000,"4,345.0000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
3,2024-03-28,URZL.CZC,URZL2,1.0000,20.0000,"4,336.2000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
4,2024-03-27,URZL.CZC,URZL2,1.0000,20.0000,"4,382.4000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
5,2024-03-26,URZL.CZC,URZL2,1.0000,20.0000,"4,448.4000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
6,2024-03-25,URZL.CZC,URZL2,1.0000,20.0000,"4,347.2000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
7,2024-03-22,URZL.CZC,URZL2,1.0000,20.0000,"4,386.8000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
8,2024-03-21,URZL.CZC,URZL2,1.0000,20.0000,"4,417.6000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
9,2024-03-20,URZL.CZC,URZL2,1.0000,20.0000,"4,406.6000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
10,2024-03-19,URZL.CZC,URZL2,1.0000,20.0000,"4,477.0000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
11,2024-03-18,URZL.CZC,URZL2,1.0000,20.0000,"4,507.8000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
12,2024-03-15,URZL.CZC,URZL2,1.0000,20.0000,"4,670.6000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
13,2024-03-14,URZL.CZC,URZL2,1.0000,20.0000,"4,653.0000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
14,2024-03-13,URZL.CZC,URZL2,1.0000,20.0000,"4,697.0000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
15,2024-03-12,URZL.CZC,URZL2,1.0000,20.0000,"4,776.2000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
16,2024-03-11,URZL.CZC,URZL2,1.0000,20.0000,"4,796.0000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
17,2024-03-08,URZL.CZC,URZL2,1.0000,20.0000,"4,811.4000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
18,2024-03-07,URZL.CZC,URZL2,1.0000,20.0000,"4,820.2000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
19,2024-03-06,URZL.CZC,URZL2,1.0000,20.0000,"4,831.2000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
20,2024-03-05,URZL.CZC,URZL2,1.0000,20.0000,"4,870.8000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
21,2024-03-04,URZL.CZC,URZL2,1.0000,20.0000,"4,807.0000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
22,2024-03-01,URZL.CZC,URZL2,1.0000,20.0000,"4,716.8000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
23,2024-02-29,URZL.CZC,URZL2,1.0000,20.0000,"4,622.2000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
24,2024-02-28,URZL.CZC,URZL2,1.0000,20.0000,"4,703.6000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
25,2024-02-27,URZL.CZC,URZL2,1.0000,20.0000,"4,749.8000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
26,2024-02-26,URZL.CZC,URZL2,1.0000,20.0000,"4,690.4000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
27,2024-02-23,URZL.CZC,URZL2,1.0000,20.0000,"4,778.4000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
28,2024-02-22,URZL.CZC,URZL2,1.0000,20.0000,"4,758.6000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
29,2024-02-21,URZL.CZC,URZL2,1.0000,20.0000,"4,732.2000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
30,2024-02-20,URZL.CZC,URZL2,1.0000,20.0000,"4,712.4000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
31,2024-02-19,URZL.CZC,URZL2,1.0000,20.0000,"4,815.8000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
32,2024-02-08,URZL.CZC,URZL2,1.0000,20.0000,"4,732.2000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
33,2024-02-07,URZL.CZC,URZL2,1.0000,20.0000,"4,725.6000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
34,2024-02-06,URZL.CZC,URZL2,1.0000,20.0000,"4,716.8000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
35,2024-02-05,URZL.CZC,URZL2,1.0000,20.0000,"4,692.6000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
36,2024-02-02,URZL.CZC,URZL2,1.0000,20.0000,"4,626.6000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
37,2024-02-01,URZL.CZC,URZL2,1.0000,20.0000,"4,587.0000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
38,2024-01-31,URZL.CZC,URZL2,1.0000,20.0000,"4,598.0000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
39,2024-01-30,URZL.CZC,URZL2,1.0000,20.0000,"4,688.2000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
40,2024-01-29,URZL.CZC,URZL2,1.0000,20.0000,"4,710.2000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
41,2024-01-26,URZL.CZC,URZL2,1.0000,20.0000,"4,587.0000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
42,2024-01-25,URZL.CZC,URZL2,1.0000,20.0000,"4,595.8000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
43,2024-01-24,URZL.CZC,URZL2,1.0000,20.0000,"4,474.8000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
44,2024-01-23,URZL.CZC,URZL2,1.0000,20.0000,"4,474.8000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
45,2024-01-22,URZL.CZC,URZL2,1.0000,20.0000,"4,514.4000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
46,2024-01-19,URZL.CZC,URZL2,1.0000,20.0000,"4,556.2000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
47,2024-01-18,URZL.CZC,URZL2,1.0000,20.0000,"4,512.2000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
48,2024-01-17,URZL.CZC,URZL2,1.0000,20.0000,"4,516.6000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
49,2024-01-16,URZL.CZC,URZL2,1.0000,20.0000,"4,584.8000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
50,2024-01-15,URZL.CZC,URZL2,1.0000,20.0000,"4,536.4000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
51,2024-01-12,URZL.CZC,URZL2,1.0000,20.0000,"4,505.6000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
52,2024-01-11,URZL.CZC,URZL2,1.0000,20.0000,"4,521.0000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
53,2024-01-10,URZL.CZC,URZL2,1.0000,20.0000,"4,551.8000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
54,2024-01-09,URZL.CZC,URZL2,1.0000,20.0000,"4,536.4000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
55,2024-01-08,URZL.CZC,URZL2,1.0000,20.0000,"4,598.0000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
56,2024-01-05,URZL.CZC,URZL2,1.0000,20.0000,"4,752.0000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
57,2024-01-04,URZL.CZC,URZL2,1.0000,20.0000,"4,807.0000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
58,2024-01-03,URZL.CZC,URZL2,1.0000,20.0000,"4,782.8000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
59,2024-01-02,URZL.CZC,URZL2,1.0000,20.0000,"4,664.0000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
60,2023-12-29,URZL.CZC,URZL2,1.0000,20.0000,"4,637.6000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
61,2023-12-28,URZL.CZC,URZL2,1.0000,20.0000,"4,624.4000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
62,2023-12-27,URZL.CZC,URZL2,1.0000,20.0000,"4,595.8000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
63,2023-12-26,URZL.CZC,URZL2,1.0000,20.0000,"4,576.0000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
64,2023-12-25,URZL.CZC,URZL2,1.0000,20.0000,"4,602.4000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
65,2023-12-22,URZL.CZC,URZL2,1.0000,20.0000,"4,765.2000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
66,2023-12-21,URZL.CZC,URZL2,1.0000,20.0000,"4,738.8000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
67,2023-12-20,URZL.CZC,URZL2,1.0000,20.0000,"4,760.8000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
68,2023-12-19,URZL.CZC,URZL2,1.0000,20.0000,"4,774.0000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
69,2023-12-18,URZL.CZC,URZL2,1.0000,20.0000,"4,754.2000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
70,2023-12-15,URZL.CZC,URZL2,1.0000,20.0000,"4,875.2000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
71,2023-12-14,URZL.CZC,URZL2,1.0000,20.0000,"4,925.8000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
72,2023-12-13,URZL.CZC,URZL2,1.0000,20.0000,"4,994.0000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
73,2023-12-12,URZL.CZC,URZL2,1.0000,20.0000,"5,013.8000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
74,2023-12-11,URZL.CZC,URZL2,1.0000,20.0000,"4,945.6000",0.1000,5.0000,9:00:00,15:00:00,--,--,CZCE,
75,2023-12-08,URZL.CZC,URZL2,1.0000,20.0000,"7,068.0000",0.2000,5.0000,9:00:00,15:00:00,--,--,CZCE,
76,2023-12-07,URZL.CZC,URZL2,1.0000,20.0000,"7,227.0000",0.2000,5.0000,9:00:00,15:00:00,--,--,CZCE,
77,2023-12-06,URZL.CZC,URZL2,1.0000,20.0000,"7,251.0000",0.2000,5.0000,9:00:00,15:00:00,--,--,CZCE,
78,2023-12-05,URZL.CZC,URZL2,1.0000,20.0000,"7,140.0000",0.2000,5.0000,9:00:00,15:00:00,--,--,CZCE,
79,2023-12-04,URZL.CZC,URZL2,1.0000,20.0000,"6,933.0000",0.2000,5.0000,9:00:00,15:00:00,--,--,CZCE,
80,2023-12-01,URZL.CZC,URZL2,1.0000,20.0000,"6,969.0000",0.2000,5.0000,9:00:00,15:00:00,--,--,CZCE,
81,2023-11-30,URZL.CZC,URZL2,1.0000,20.0000,"6,864.0000",0.2000,5.0000,9:00:00,15:00:00,--,--,CZCE,
82,2023-11-29,URZL.CZC,URZL2,1.0000,20.0000,"6,927.0000",0.2000,5.0000,9:00:00,15:00:00,--,--,CZCE,
83,2023-11-28,URZL.CZC,URZL2,1.0000,20.0000,"6,933.0000",0.2000,5.0000,9:00:00,15:00:00,--,--,CZCE,
84,2023-11-27,URZL.CZC,URZL2,1.0000,20.0000,"6,822.0000",0.2000,5.0000,9:00:00,15:00:00,--,--,CZCE,
85,2023-11-24,URZL.CZC,URZL2,1.0000,20.0000,"6,828.0000",0.2000,5.0000,9:00:00,15:00:00,--,--,CZCE,
86,2023-11-23,URZL.CZC,URZL2,1.0000,20.0000,"6,939.0000",0.2000,5.0000,9:00:00,15:00:00,--,--,CZCE,
87,2023-11-22,URZL.CZC,URZL2,1.0000,20.0000,"6,951.0000",0.2000,5.0000,9:00:00,15:00:00,--,--,CZCE,
88,2023-11-21,URZL.CZC,URZL2,1.0000,20.0000,"6,894.0000",0.2000,5.0000,9:00:00,15:00:00,--,--,CZCE,
89,2023-11-20,URZL.CZC,URZL2,1.0000,20.0000,"5,917.6000",0.2000,5.0000,9:00:00,15:00:00,--,--,CZCE,
90,2023-11-17,URZL.CZC,URZL2,1.0000,20.0000,"6,021.6000",0.2000,5.0000,9:00:00,15:00:00,--,--,CZCE,
91,2023-11-16,URZL.CZC,URZL2,1.0000,20.0000,"6,115.2000",0.2000,5.0000,9:00:00,15:00:00,--,--,CZCE,
92,2023-11-15,URZL.CZC,URZL2,1.0000,20.0000,"6,156.8000",0.2000,5.0000,9:00:00,15:00:00,--,--,CZCE,
93,2023-11-14,URZL.CZC,URZL2,1.0000,20.0000,"6,175.0000",0.2000,5.0000,9:00:00,15:00:00,--,--,CZCE,
